id,helper__tenant_code,helper__role_name,helper__permission_name
019d89ca-3c87-7a44-b1b9-bc4e486b35d7,,owner,master.read
019d89ca-3d12-7ad1-a2a4-0a1883dbee7a,,owner,master.write
019d89ca-3d62-7a39-83d7-a4ca6a476925,,owner,employee.read
019d89ca-3da5-76ed-9299-01960c56344e,,owner,employee.write
019d89ca-3df5-7144-94de-d0ac9d55e48c,,owner,attendance.read
019d89ca-3e3e-7bb8-9fc9-7b43c715a5f1,,owner,attendance.write
019d89ca-3e8b-761e-ab41-790d40181565,,owner,user.read
019d89ca-3ed2-7daf-97ea-5aac564743da,,owner,user.write
019d89ca-3f20-7874-ac4f-dd9e7e7f3911,,owner,rbac.manage
019d89ca-3f6e-7dcf-b064-0d8bba482e85,,owner,report.read
019d89ca-3fb7-7c50-9d12-1aea10fdb30b,,admin,master.read
019d89ca-4023-75c8-a514-ac8ad274da12,,admin,master.write
019d89ca-406b-75f3-b79d-25b9288cf330,,admin,employee.read
019d89ca-40b2-7416-af2a-56fafd2e48c2,,admin,employee.write
019d89ca-4108-79a0-b3ab-5ab84d8c0399,,admin,attendance.read
019d89ca-4156-7d9c-9bde-115dea52233c,,admin,attendance.write
019d89ca-41a3-79d7-82d4-7aa91ff04c1c,,admin,user.read
019d89ca-41eb-7a77-a586-133a59ec0632,,admin,user.write
019d89ca-423c-73f7-a240-6fcf98ba401a,,admin,report.read
019d89ca-4288-7a0e-81d9-f01e37d494be,,manager,master.read
019d89ca-42cf-7017-a24f-d5166f8df6ad,,manager,employee.read
019d89ca-4317-7724-a6e8-0bfeaad2c1b3,,manager,attendance.read
019d89ca-435e-7e19-ae42-d4d9c9ac70b1,,manager,report.read
019d89ca-43a4-77a8-aecf-3ed9fd733cb8,,employee,master.read
019d89ca-43f0-71d4-a48a-337175db6333,,employee,attendance.read
019d96e2-25f7-7c35-b44c-c84f7360429b,BERUA,owner,master.read
019d96e2-277a-7ecd-ae34-9a71c48bc078,BERUA,owner,master.write
019d96e2-2956-74b7-bb94-ed4ed66f04aa,BERUA,owner,employee.read
019d96e2-2a10-7718-afc4-18fd8c252374,BERUA,owner,employee.write
019d96e2-2a77-7cd9-b025-15f1fcd76a2e,BERUA,owner,attendance.read
019d96e2-2b04-744d-bec9-493c73bd1090,BERUA,owner,attendance.write
019d96e2-2b53-773b-932d-1dc64dc54a81,BERUA,owner,user.read
019d96e2-2ba7-7c11-8b0f-8e0c23ad51a9,BERUA,owner,user.write
019d96e2-2c24-797d-bd57-69c1b66d41d9,BERUA,owner,rbac.manage
019d96e2-2c76-7a8f-b143-9711805a6896,BERUA,owner,report.read
019d96e2-2d5d-7b79-896f-318bae4714a2,BERUA,admin,master.read
019d96e2-2e10-7128-85a9-b6d99ac88e77,BERUA,admin,master.write
019d96e2-2e83-7f07-b693-e799a0a52863,BERUA,admin,employee.read
019d96e2-2ed7-7d81-a0d9-a4ea2cfc51ca,BERUA,admin,employee.write
019d96e2-2f50-74a7-a1ea-6902cef0115e,BERUA,admin,attendance.read
019d96e2-2fb2-7c15-9248-5c579bf75bd4,BERUA,admin,attendance.write
019d96e2-3010-756e-869a-5ea0dabe58aa,BERUA,admin,user.read
019d96e2-307b-7c50-b909-48c751ccee59,BERUA,admin,user.write
019d96e2-3118-7724-b1d6-eed7ed1effcb,BERUA,admin,report.read
019d96e2-3162-7b81-9620-2a7679d9288e,BERUA,manager,master.read
019d96e2-31b3-7ae5-a911-801b6a066b25,BERUA,manager,employee.read
019d96e2-320f-7334-8a26-4dd45a3f2750,BERUA,manager,attendance.read
019d96e2-3278-7645-9dfa-7fae9f20fe99,BERUA,manager,report.read
019d96e2-32c9-77bc-820a-3ab068043338,BERUA,employee,master.read
019d96e2-3330-778d-b2f5-f1ca2ff861b3,BERUA,employee,attendance.read
